Deal Type;Announce Date;Target Name;Acquirer Name;Seller Name;Announced Total Value (mil.);Payment Type;TV/EBITDA;Deal Status;Nature of Bid;Target ISIN;Acquirer ISIN;Competing Bid Premium;Premium to 1-Month Avg Px (%);Percent Sought;Percent Owned;Net Debt
M&A;12/01/2001;Asturiana de Zinc SA;Xstrata AG;;520.07;Cash; ;Completed;Friendly;ES0111100113;CH0010782446;0.0000;33.0877;92.739998;0.000000;42.389389
M&A;15/01/2001;Legrand France SA;Schneider Electric SE;;7832.12;Cash and Stock;13.84;Completed;Friendly;FR0000120610;FR0000121972;0.0000;0;98.099998;0.000000;1531.000000
M&A;15/01/2001;KT M.Com Co Ltd;KT Freetel Co Ltd;;2056.28;Stock;37.84;Completed;Friendly;KR7030700009;KR7032390007;0.0000;-12.6521;100.000000;0.000000;1198137.000000
M&A;15/01/2001;Xircom Inc;Intel Corp;;445.44;Cash;7.58;Completed;Friendly;US9839221051;US4581401001;0.0000;58.4507;100.000000;0.000000;-308.489014
M&A;16/01/2001;Nestle Purina PetCare Co;Nestle SA;;11856.11;Cash; ;Completed;Friendly;US7512773026;CH0038863350;0.0000;35.5706;100.000000;0.000000;1296.099976
M&A;16/01/2001;Allaire Corp;Macromedia Inc;;281.84;Cash and Stock; ;Completed;Friendly;US0167141078;US5561001059;0.0000;163.155;100.000000;0.000000;-117.834999
M&A;16/01/2001;First International Bancorp Inc;United Parcel Service Inc;;78.00;Stock;4.80;Completed;Friendly;US32054Q1004;US9113121068;0.0000;-16.6219;100.000000;0.000000;0.000000
M&A;16/01/2001;MDECHEM Inc;Adino Energy Corp;;N/A;Stock; ;Terminated;Friendly;US5828263013;US00687R1005;0.0000;0;100.000000;0.000000;0.000000
M&A;17/01/2001;WebTrends Corp;NetIQ Corp;;915.38;Stock;80.06;Completed;Friendly;US94844D1046;US64115P1021;0.0000;36.5124;100.000000;0.000000;-79.283173
M&A;17/01/2001;Casino Data Systems;Aristocrat Leisure Ltd;;173.40;Cash;9.42;Completed;Friendly;US1475831087;AU000000ALL7;0.0000;37.2712;100.000000;0.000000;0.000000
